------------------------- 2024/07/24/15:07 | C:\Users\JAVIER.MOLINA\eclipse-workspace\ConfrontaDeFM\TEMP\01\011111100\PC_SE_01111110X\mza.json ----------------------------
------------------------- 2024/07/24/15:07 | C:\Users\JAVIER.MOLINA\eclipse-workspace\ConfrontaDeFM\TEMP\01\011111300\PC_SE_011111300\mza.json ----------------------------
ERROR | ROW: 0 | GEOMETRY: Polygon | CVEGEO: 0300100012224020
ERROR - ROW: 1654 | GEOMETRY: MultiPolygon | CVEGEO: 0300314992515001
ERROR - ROW: 1658 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168013
ERROR - ROW: 1674 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168039
ERROR - ROW: 1681 | GEOMETRY: MultiPolygon | CVEGEO: 0300314992515018
ERROR - ROW: 1712 | GEOMETRY: MultiPolygon | CVEGEO: 0300315002619012
ERROR - ROW: 1741 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534016
------------------------- 2024/07/24/15:07 | C:\Users\JAVIER.MOLINA\eclipse-workspace\ConfrontaDeFM\TEMP\01\011111100\PC_SE_011111100\mza.json ----------------------------
ERROR - ROW: 5 | GEOMETRY: MultiPolygon | CVEGEO: 1904900010453005
ERROR - ROW: 9 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398004
ERROR - ROW: 10 | GEOMETRY: MultiPolygon | CVEGEO: 1904900370400006
ERROR - ROW: 26 | GEOMETRY: MultiPolygon | CVEGEO: 190490001067A003
ERROR - ROW: 28 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398003
ERROR - ROW: 37 | GEOMETRY: MultiPolygon | CVEGEO: 1904900010453007
ERROR - ROW: 39 | GEOMETRY: MultiPolygon | CVEGEO: 190490001067A011
ERROR - ROW: 58 | GEOMETRY: MultiPolygon | CVEGEO: 1904900080398016
ERROR - ROW: 84 | GEOMETRY: MultiPolygon | CVEGEO: 190490001067A009
ERROR - ROW: 88 | GEOMETRY: MultiPolygon | CVEGEO: 1904900370400003
ERROR - ROW: 89 | GEOMETRY: MultiPolygon | CVEGEO: 1904900270398003
ERROR - ROW: 99 | GEOMETRY: MultiPolygon | CVEGEO: 1904900010453006
ERROR - ROW: 112 | GEOMETRY: MultiPolygon | CVEGEO: 1904900010453012
ERROR - ROW: 113 | GEOMETRY: MultiPolygon | CVEGEO: 1904900390400010
